reservation_status,adr,,,,,,,,
Check-Out,0,,,,,,,,
Check-Out,0,,,,,,,,
Check-Out,75,,,,,,,,
Check-Out,75,,,,,,,,
Check-Out,98,,,,,,,reservation_status,Average of adr
Check-Out,98,,,,,,,Canceled,105.2052414
Check-Out,107,,,,,,,Check-Out,99.98769297
Check-Out,103,,,,,,,No-Show,96.37845899
Canceled,82,,,,,,,Grand Total,101.8311215
Canceled,105.5,,,,,,,,
Canceled,123,,,,,,,,
Check-Out,145,,,,,,,,
Check-Out,97,,,,,,,,
Check-Out,154.77,,,,,,,,
Check-Out,94.71,,,,,,,,
Check-Out,97,,,,,,,,
Check-Out,97.5,,,,,,,,
Check-Out,88.2,,,,,,,,
Check-Out,107.42,,,,,,,,
Check-Out,153,,,,,,,,
Check-Out,97.29,,,,,,,,
Check-Out,84.67,,,,,,,,
Check-Out,84.67,,,,,,,,
Check-Out,99.67,,,,,,,,
Check-Out,94.95,,,,,,,,
Check-Out,63.6,,,,,,,,
Check-Out,79.5,,,,,,,,
Canceled,107,,,,,,,,
Check-Out,94,,,,,,,,
Check-Out,87.3,,,,,,,,
Check-Out,62,,,,,,,,
Check-Out,63.86,,,,,,,,
Canceled,108.3,,,,,,,,
Check-Out,65.5,,,,,,,,
Canceled,108.8,,,,,,,,
Canceled,108.8,,,,,,,,
Check-Out,98,,,,,,,,
Check-Out,108.8,,,,,,,,
Canceled,108.8,,,,,,,,
Check-Out,137,,,,,,,,
Canceled,117.81,,,,,,,,
Check-Out,79.5,,,,,,,,
Check-Out,123,,,,,,,,
Check-Out,137,,,,,,,,
Check-Out,110.7,,,,,,,,
Canceled,153,,,,,,,,
Check-Out,58.95,,,,,,,,
Check-Out,82.88,,,,,,,,
Check-Out,82.35,,,,,,,,
Check-Out,119.35,,,,,,,,
Check-Out,67.58,,,,,,,,
Check-Out,56.01,,,,,,,,
Check-Out,110.7,,,,,,,,
Check-Out,88.2,,,,,,,,
Check-Out,147,,,,,,,,
Check-Out,107,,,,,,,,
Check-Out,147,,,,,,,,
Check-Out,117.9,,,,,,,,
Check-Out,123,,,,,,,,
Check-Out,98,,,,,,,,
Check-Out,117.81,,,,,,,,
Check-Out,135,,,,,,,,
Check-Out,133,,,,,,,,
Check-Out,58.95,,,,,,,,
Canceled,136.33,,,,,,,,
Check-Out,153,,,,,,,,
Check-Out,110.5,,,,,,,,
Check-Out,97,,,,,,,,
Canceled,110.3,,,,,,,,
Canceled,82,,,,,,,,
Canceled,97,,,,,,,,
Canceled,73.8,,,,,,,,
Check-Out,91.5,,,,,,,,
Check-Out,114.5,,,,,,,,
Canceled,110.3,,,,,,,,
Check-Out,90.9,,,,,,,,
Canceled,123,,,,,,,,
Check-Out,122,,,,,,,,
Check-Out,110.7,,,,,,,,
Check-Out,85.86,,,,,,,,
Check-Out,58.95,,,,,,,,
Canceled,55.68,,,,,,,,
Check-Out,55.68,,,,,,,,
Canceled,124,,,,,,,,
Check-Out,111.15,,,,,,,,
Check-Out,134.73,,,,,,,,
Check-Out,92.45,,,,,,,,
Canceled,108.73,,,,,,,,
Check-Out,73.8,,,,,,,,
Check-Out,98,,,,,,,,
Check-Out,131,,,,,,,,
Check-Out,123,,,,,,,,
Check-Out,94.71,,,,,,,,
Check-Out,123,,,,,,,,
Canceled,123,,,,,,,,
Canceled,73.8,,,,,,,,
Canceled,117,,,,,,,,
Check-Out,196.54,,,,,,,,
Check-Out,99.3,,,,,,,,
Check-Out,90.95,,,,,,,,
Check-Out,92.67,,,,,,,,
Check-Out,71.55,,,,,,,,
Check-Out,96.49,,,,,,,,
Check-Out,85.8,,,,,,,,
Check-Out,96.3,,,,,,,,
Canceled,163,,,,,,,,
Canceled,172,,,,,,,,
Canceled,110.7,,,,,,,,
Check-Out,58.95,,,,,,,,
Check-Out,73.8,,,,,,,,
Check-Out,97,,,,,,,,
Check-Out,139,,,,,,,,
Check-Out,67.24,,,,,,,,
Check-Out,116.5,,,,,,,,
Canceled,96.3,,,,,,,,
Check-Out,123,,,,,,,,
Check-Out,71.55,,,,,,,,
Check-Out,71.55,,,,,,,,
Check-Out,149,,,,,,,,
Check-Out,163,,,,,,,,
Check-Out,79.5,,,,,,,,
Canceled,105,,,,,,,,
No-Show,123,,,,,,,,
Canceled,73.8,,,,,,,,
Canceled,113,,,,,,,,
Check-Out,0,,,,,,,,
Check-Out,123,,,,,,,,
Check-Out,73.8,,,,,,,,
Check-Out,114.5,,,,,,,,
Check-Out,73.8,,,,,,,,
Check-Out,73.8,,,,,,,,
Check-Out,88.2,,,,,,,,
Canceled,97,,,,,,,,
Check-Out,85.1,,,,,,,,
Check-Out,89,,,,,,,,
Check-Out,80.1,,,,,,,,
Check-Out,98,,,,,,,,
Check-Out,101,,,,,,,,
Canceled,97,,,,,,,,
Check-Out,167,,,,,,,,
Check-Out,225,,,,,,,,
Check-Out,97,,,,,,,,
Check-Out,87.3,,,,,,,,
Check-Out,85.59,,,,,,,,
Check-Out,123,,,,,,,,
Check-Out,107,,,,,,,,
Check-Out,163,,,,,,,,
Check-Out,82,,,,,,,,
Canceled,163,,,,,,,,
Canceled,105.5,,,,,,,,
Check-Out,164.2,,,,,,,,
Check-Out,97.29,,,,,,,,
Canceled,114,,,,,,,,
Check-Out,98.4,,,,,,,,
Check-Out,175,,,,,,,,
Check-Out,63.6,,,,,,,,
Check-Out,124.45,,,,,,,,
Check-Out,110.7,,,,,,,,
Check-Out,74.07,,,,,,,,
Check-Out,134.1,,,,,,,,
Check-Out,167,,,,,,,,
Check-Out,123,,,,,,,,
Check-Out,117.81,,,,,,,,
Check-Out,171.32,,,,,,,,
Check-Out,210,,,,,,,,
Check-Out,97,,,,,,,,
Check-Out,117.81,,,,,,,,
Check-Out,0,,,,,,,,
Check-Out,0,,,,,,,,
Check-Out,131,,,,,,,,
Check-Out,98,,,,,,,,
Check-Out,87.3,,,,,,,,
Check-Out,97,,,,,,,,
Canceled,167,,,,,,,,
Check-Out,91.5,,,,,,,,
Check-Out,73.8,,,,,,,,
Check-Out,123,,,,,,,,
Check-Out,175,,,,,,,,
Check-Out,117.8,,,,,,,,
Check-Out,117.63,,,,,,,,
Check-Out,185,,,,,,,,
Canceled,71,,,,,,,,
Check-Out,47.25,,,,,,,,
Check-Out,151,,,,,,,,
Canceled,87.3,,,,,,,,
Check-Out,120.6,,,,,,,,
Check-Out,63.86,,,,,,,,
Check-Out,157.1,,,,,,,,
Check-Out,91.37,,,,,,,,
